a,b,c,d,pos,vel,acc
7742.636826811277,27.825594022071257,599484250.3189421,1.6681005372000592,"(3401.405127507872, 0.0, 1098.6955545304916)","(40332.70015923821, 0.0, 9503.744523174113)","(267846.07241638185, 0.0, 34827.970228396705)"
7742.636826811277,27.825594022071257,599484250.3189421,27.825594022071257,"(3401.405217643938, 0.0, 1098.6955928906507)","(40332.704683307646, 0.0, 9503.745944692339)","(267846.12204159657, 0.0, 34827.98298164865)"
7742.636826811277,27.825594022071257,599484250.3189421,464.1588833612782,"(3401.4067205147862, 0.0, 1098.6962324754377)","(40332.78011477443, 0.0, 9503.769646202561)","(267846.94946110505, 0.0, 34828.195621679646)"
7742.636826811277,27.825594022071257,599484250.3189421,7742.636826811277,"(3401.431600412274, 0.0, 1098.7068186025806)","(40334.02888734788, 0.0, 9504.162030677553)","(267860.64747815393, 0.0, 34831.7159979009)"
7742.636826811277,27.825594022071257,599484250.3189421,129154.96650148854,"(3401.8026459597695, 0.0, 1098.8642466821218)","(40352.65541345361, 0.0, 9510.015995437096)","(268064.977449082, 0.0, 34884.250720229415)"
7742.636826811277,27.825594022071257,599484250.3189421,2154434.6900318866,"(3404.74267727955, 0.0, 1100.0952766684468)","(40500.607367886616, 0.0, 9556.612251914468)","(269690.07630776236, 0.0, 35303.10226603866)"
7742.636826811277,27.825594022071257,599484250.3189421,35938136.638046406,"(3417.2829547241818, 0.0, 1105.2826927000626)","(41141.11912266743, 0.0, 9758.050247668856)","(276784.6745887783, 0.0, 37123.629785078956)"
7742.636826811277,27.825594022071257,599484250.3189421,599484250.3189421,"(3464.9578675753874, 0.0, 1124.78961940636)","(43722.144192411426, 0.0, 10558.12984639398)","(306336.09116138355, 0.0, 44516.602298061225)"
7742.636826811277,27.825594022071257,599484250.3189421,10000000000.0,"(3613.103054123943, 0.0, 1185.1511872454496)","(53394.621735428824, 0.0, 13479.425187331672)","(429621.7565732046, 0.0, 73512.70134376093)"
7742.636826811277,27.825594022071257,10000000000.0,0.1,"(3896.231458239949, 0.0, 1286.6120106124188)","(83763.68800592324, 0.0, 19675.139163982472)","(898768.8477110298, 0.0, 111955.2055085395)"
7742.636826811277,27.825594022071257,10000000000.0,1.6681005372000592,"(3896.2314584160617, 0.0, 1286.6120106921019)","(83763.68802773146, 0.0, 19675.139170780618)","(898768.8481152493, 0.0, 111955.20560914748)"
7742.636826811277,27.825594022071257,10000000000.0,27.825594022071257,"(3896.2314613537997, 0.0, 1286.6120120213002)","(83763.68839151412, 0.0, 19675.13928418025)","(898768.854858027, 0.0, 111955.20728738644)"
7742.636826811277,27.825594022071257,10000000000.0,464.1588833612782,"(3896.2315103568603, 0.0, 1286.6120341930405)","(83763.69445960721, 0.0, 19675.141175747893)","(898768.9673312418, 0.0, 111955.23528132687)"
7742.636826811277,27.825594022071257,10000000000.0,7742.636826811277,"(3896.232327401399, 0.0, 1286.6124038664298)","(83763.79563501301, 0.0, 19675.17271446503)","(898770.842635947, 0.0, 111955.70203357875)"
7742.636826811277,27.825594022071257,10000000000.0,129154.96650148854,"(3896.2458532309042, 0.0, 1286.6185227001858)","(83765.47056395252, 0.0, 19675.694817347714)","(898801.8877716869, 0.0, 111963.42888297324)"
7742.636826811277,27.825594022071257,10000000000.0,2154434.6900318866,"(3896.4475196443823, 0.0, 1286.7095595299916)","(83790.44659821749, 0.0, 19683.478100959564)","(899264.834332616, 0.0, 112078.63278633183)"
7742.636826811277,27.825594022071257,10000000000.0,35938136.638046406,"(3898.0451493023174, 0.0, 1287.4261374485757)","(83988.69024364946, 0.0, 19745.210024464934)","(902942.0746628288, 0.0, 112993.14172864413)"
7742.636826811277,27.825594022071257,10000000000.0,599484250.3189421,"(3904.891331589068, 0.0, 1290.500972063604)","(84848.08070430373, 0.0, 20012.550194732197)","(918962.632443685, 0.0, 116965.57345240499)"
7742.636826811277,27.825594022071257,10000000000.0,10000000000.0,"(3931.4559921235, 0.0, 1302.3394567467121)","(88341.85235513048, 0.0, 21091.975722423616)","(985416.2812092077, 0.0, 133192.5494268907)"
7742.636826811277,464.1588833612782,0.1,0.1,"(1503.678120076255, 0.9916666666666667, 4481.830713877397)","(1442.424561201092, 0.9975, 10469.102710977424)","(389.6671745387402, 0.9991666666666666, 5947.813579841078)"
7742.636826811277,464.1588833612782,0.1,1.6681005372000592,"(1539.37087836136, 0.8516666666666667, 3996.5285673887943)","(1653.167149000262, 0.9975, 9784.039904226249)","(556.2510818268794, 0.9991666666666666, 6279.1712000246225)"
7742.636826811277,464.1588833612782,0.1,27.825594022071257,"(1608.130702364016, 0.6433333333333333, 3013.037506233402)","(2060.0308913244476, 0.8841666666666667, 7917.487933248505)","(964.3273228998021, 0.9183333333333333, 6446.619799933032)"
7742.636826811277,464.1588833612782,0.1,464.1588833612782,"(1721.5719099191706, 0.4141666666666667, 2031.2957808106373)","(2775.6664611530905, 0.6425, 6084.139835874866)","(1929.6416576940628, 0.7016666666666667, 6658.785757868007)"
7742.636826811277,464.1588833612782,0.1,7742.636826811277,"(1889.983049709179, 0.265, 1431.0631250480533)","(4006.024488656181, 0.39666666666666667, 4675.0551200740365)","(4204.452619169129, 0.44666666666666666, 6771.853432263741)"
