a,b,c,pos,vel,acc
183298.07108324338,183298.07108324338,379269019.0732238,"(0.0, 1073.739175973887, 3508.564046237858)","(0.0, 7826.646784486484, 42714.298634192)","(0.0, 24634.18438405212, 230347.13366689623)"
183298.07108324338,183298.07108324338,1128837891.6846883,"(0.0, 1144.279476382897, 3654.633262150775)","(0.0, 10432.706648540712, 53997.96216744677)","(0.0, 39720.638711508494, 362591.18823630956)"
183298.07108324338,183298.07108324338,3359818286.2837744,"(0.0, 1213.5879030377441, 3806.960968597655)","(0.0, 13953.125906296862, 69199.08674692246)","(0.0, 64234.552139488806, 574087.8558365961)"
183298.07108324338,183298.07108324338,10000000000.0,"(0.0, 1262.2141793726414, 3959.494709700979)","(0.0, 18578.17072958681, 89885.02237935939)","(0.0, 102452.26236293362, 914270.130655215)"
183298.07108324338,545559.4781168514,10.0,"(0.0, 827.3891105958928, 2892.4033688776212)","(0.5, 2322.2524835263866, 12662.969935338979)","(99.91666666666667, 2506.64432438883, 1797.9346916798524)"
183298.07108324338,545559.4781168514,29.76351441631318,"(0.0, 827.782023060712, 2892.480220961389)","(0.4166666666666667, 2299.1214409371246, 12665.973580860275)","(99.91666666666667, 2485.349773875874, 1842.7967251748187)"
183298.07108324338,545559.4781168514,88.58667904100822,"(0.0, 826.9344421472567, 2892.701612763196)","(0.4166666666666667, 2247.271014058788, 12674.754225060718)","(88.16666666666667, 2450.405277083896, 1967.3938363861744)"
183298.07108324338,545559.4781168514,263.6650898730358,"(0.0, 831.9702499150108, 2893.3163173174426)","(0.4166666666666667, 2161.887551940318, 12699.022864231596)","(57.166666666666664, 2382.042294327767, 2278.6701506549853)"
183298.07108324338,545559.4781168514,784.7599703514607,"(0.0, 836.5879930246167, 2894.7991908724343)","(0.4166666666666667, 2083.9543649728334, 12757.406536133623)","(38.83333333333333, 2310.3540199863264, 2917.4379327131287)"
183298.07108324338,545559.4781168514,2335.7214690901214,"(0.0, 834.5225608727325, 2897.8020882841333)","(0.08333333333333334, 2015.0664322956504, 12875.558530118287)","(30.5, 2191.6617473861315, 3930.973520375045)"
183298.07108324338,545559.4781168514,6951.927961775606,"(0.0, 836.4365995729162, 2902.867623296608)","(0.0, 1974.6268736533048, 13074.653594472235)","(24.5, 2053.655589033405, 5291.2291388569765)"
183298.07108324338,545559.4781168514,20691.3808111479,"(0.0, 836.6415755050182, 2911.088609665338)","(0.0, 1937.3613300446982, 13397.27043795093)","(19.5, 1938.1840394203364, 7129.989667776506)"
183298.07108324338,545559.4781168514,61584.82110660255,"(0.0, 842.0220080145315, 2924.3923356548266)","(0.0, 1920.5118371165054, 13918.536879360676)","(14.75, 1761.0216064229867, 9732.536153586632)"
183298.07108324338,545559.4781168514,183298.07108324338,"(0.0, 851.5347299970294, 2945.2872715226767)","(0.0, 2003.7243494171346, 14736.911090118654)","(9.583333333333334, 1586.3169690528955, 13529.595193288711)"
183298.07108324338,545559.4781168514,545559.4781168514,"(0.0, 867.9091206522739, 2976.7587017682913)","(0.0, 2179.5482377382277, 15973.955469277313)","(3.833333333333333, 1734.4402577517944, 19219.660754664423)"
183298.07108324338,545559.4781168514,1623776.739188721,"(0.0, 866.8501759814551, 3021.9011671235135)","(0.0, 2483.0964654184654, 17771.08134837807)","(0.8333333333333334, 2504.771583173685, 27926.079571308514)"
183298.07108324338,545559.4781168514,4832930.238571752,"(0.0, 887.775497442663, 3083.4117271344207)","(0.0, 2933.565741851902, 20292.176599539045)","(0.08333333333333334, 3822.634377820342, 41428.81325587738)"
183298.07108324338,545559.4781168514,14384498.882876629,"(0.0, 918.9480735082246, 3163.143535408955)","(0.0, 3586.8008476214854, 23740.30363672661)","(0.0, 6013.918753482256, 62537.395844133884)"
183298.07108324338,545559.4781168514,42813323.98719387,"(0.0, 967.650828713238, 3261.7840634683266)","(0.0, 4582.3595632220395, 28387.677258724576)","(0.0, 9496.26983969078, 95707.4566319323)"
183298.07108324338,545559.4781168514,127427498.57031322,"(0.0, 1014.7043968489677, 3378.6172418511055)","(0.0, 5884.883384627641, 34614.225414244145)","(0.0, 15030.49924025733, 148056.3518454342)"
183298.07108324338,545559.4781168514,379269019.0732238,"(0.0, 1076.1797965497071, 3511.3633381252935)","(0.0, 7835.657706342186, 42954.73567824317)","(0.0, 24604.147485929145, 231028.58233397992)"
183298.07108324338,545559.4781168514,1128837891.6846883,"(0.0, 1144.5210965731408, 3656.161144536621)","(0.0, 10447.275188076943, 54163.017709662425)","(0.0, 39620.32446791729, 363136.9868460162)"
183298.07108324338,545559.4781168514,3359818286.2837744,"(0.0, 1213.2084102140002, 3807.7548227537627)","(0.0, 13980.529177342767, 69311.57910749281)","(0.0, 64182.00150993653, 574518.7266280132)"
183298.07108324338,545559.4781168514,10000000000.0,"(0.0, 1262.4050412936685, 3959.887326697938)","(0.0, 18584.9083067105, 89961.48968941113)","(0.0, 102409.13022708475, 914606.3755986004)"
183298.07108324338,1623776.739188721,10.0,"(0.0, 856.4801077871768, 2998.4397318357383)","(0.0, 2369.747350771004, 17410.395977269327)","(75.83333333333333, 2448.5848242972224, 2150.277745479925)"
183298.07108324338,1623776.739188721,29.76351441631318,"(0.0, 856.6027336469095, 2998.4699988588236)","(0.0, 2368.7228201799862, 17411.547958122)","(63.583333333333336, 2441.2439527439815, 2197.2295757423817)"
183298.07108324338,1623776.739188721,88.58667904100822,"(0.0, 856.9470820710467, 2998.5593604580235)","(0.0, 2357.329751087172, 17414.950316647715)","(53.5, 2420.643162352391, 2329.958705003927)"
183298.07108324338,1623776.739188721,263.6650898730358,"(0.0, 855.2163260048478, 2998.8093464679914)","(0.0, 2342.5584206333297, 17424.441946915103)","(43.666666666666664, 2368.497317025491, 2677.0165995100297)"
183298.07108324338,1623776.739188721,784.7599703514607,"(0.0, 854.638233118068, 2999.48423415427)","(0.0, 2333.612181786999, 17450.067095331575)","(34.66666666666667, 2292.0598569392578, 3447.0833413973496)"
183298.07108324338,1623776.739188721,2335.7214690901214,"(0.0, 858.3005779480457, 3001.077420372007)","(0.0, 2310.022697374031, 17510.58815502182)","(26.5, 2201.9565148611127, 4807.290164782455)"
183298.07108324338,1623776.739188721,6951.927961775606,"(0.0, 861.9587364089962, 3004.077139945917)","(0.0, 2317.566609872318, 17624.67800960446)","(20.416666666666668, 2086.18394829925, 6690.786595093332)"
183298.07108324338,1623776.739188721,20691.3808111479,"(0.0, 862.8899267362726, 3008.882763587445)","(0.0, 2326.3600070656803, 17807.929415031733)","(15.833333333333332, 1931.1788779029362, 9012.516060230279)"
183298.07108324338,1623776.739188721,61584.82110660255,"(0.0, 866.011090454999, 3016.673907384232)","(0.0, 2379.3370918268765, 18106.361843309693)","(11.333333333333332, 1839.5420579959411, 12055.618375778851)"
183298.07108324338,1623776.739188721,183298.07108324338,"(0.0, 865.0193355601691, 3029.5137402216865)","(0.0, 2473.7181087396707, 18601.866115746823)","(6.5, 1733.4533379061918, 16279.9741339159)"
183298.07108324338,1623776.739188721,545559.4781168514,"(0.0, 873.7067692554926, 3050.2019756940085)","(0.0, 2609.60695834183, 19410.517713584708)","(3.166666666666667, 1824.3065936494509, 22321.766695716422)"
183298.07108324338,1623776.739188721,1623776.739188721,"(0.0, 884.4178846375889, 3082.338261424359)","(0.0, 2862.689607818721, 20694.1704310384)","(0.5833333333333334, 2517.3086322820154, 31227.70232945266)"
183298.07108324338,1623776.739188721,4832930.238571752,"(0.0, 905.6129542371416, 3129.916402434344)","(0.0, 3188.2652398280275, 22664.024864093004)","(0.08333333333333334, 3753.3289260983743, 44731.24544740563)"
183298.07108324338,1623776.739188721,14384498.882876629,"(0.0, 935.5742687495318, 3196.456958981318)","(0.0, 3786.111930239994, 25580.439543385884)","(0.0, 5896.399987082198, 65649.80162582581)"
183298.07108324338,1623776.739188721,42813323.98719387,"(0.0, 978.425320849977, 3284.0074875526593)","(0.0, 4710.80040375594, 29760.8509175228)","(0.0, 9369.283749032584, 98492.55463389508)"
183298.07108324338,1623776.739188721,127427498.57031322,"(0.0, 1020.9535733205819, 3392.4715160754254)","(0.0, 5979.456279742976, 35607.14278959737)","(0.0, 14888.052016962527, 150445.66499202803)"
183298.07108324338,1623776.739188721,379269019.0732238,"(0.0, 1079.4700645488574, 3519.473513922537)","(0.0, 7891.692456382498, 43655.41730101036)","(0.0, 24445.2674750907, 233011.90236161067)"
183298.07108324338,1623776.739188721,1128837891.6846883,"(0.0, 1143.8476979634713, 3660.640686264458)","(0.0, 10493.78294840717, 54648.744059805)","(0.0, 39487.757583675106, 364742.1792864888)"
183298.07108324338,1623776.739188721,3359818286.2837744,"(0.0, 1212.0860816881827, 3810.0982628399765)","(0.0, 14044.34044695989, 69644.42398154021)","(0.0, 63971.01250590267, 575793.1994097268)"
183298.07108324338,1623776.739188721,10000000000.0,"(0.0, 1262.9741573166295, 3961.050737279789)","(0.0, 18621.786199358437, 90188.4022389557)","(0.0, 102346.34588888858, 915603.9887777582)"
183298.07108324338,4832930.238571752,10.0,"(0.0, 912.7903694684915, 3146.5784361875626)","(0.0, 3162.0031266831957, 24449.613086351317)","(53.083333333333336, 2440.067294990436, 2358.224205964754)"
183298.07108324338,4832930.238571752,29.76351441631318,"(0.0, 912.8716499405102, 3146.588709925165)","(0.0, 3162.5677237569316, 24450.026764944094)","(50.916666666666664, 2438.287068898073, 2406.603656305406)"
183298.07108324338,4832930.238571752,88.58667904100822,"(0.0, 913.1086135740626, 3146.6183592648867)","(0.0, 3164.0129966995114, 24451.219215226432)","(47.0, 2428.1369812159683, 2545.0788669081785)"
183298.07108324338,4832930.238571752,263.6650898730358,"(0.0, 913.1830933912584, 3146.7047960716936)","(0.0, 3162.5331273931133, 24454.694821802685)","(40.5, 2403.779163926579, 2913.7659221264653)"
183298.07108324338,4832930.238571752,784.7599703514607,"(0.0, 913.3027704912305, 3146.952483213765)","(0.0, 3165.9984256888583, 24464.656038316156)","(32.33333333333333, 2351.3171420838885, 3775.169545071427)"
183298.07108324338,4832930.238571752,2335.7214690901214,"(0.0, 914.8163233624962, 3147.6160570471575)","(0.0, 3164.437895846231, 24491.35602449606)","(24.25, 2269.94212576245, 5450.347187441634)"
183298.07108324338,4832930.238571752,6951.927961775606,"(0.0, 915.6635023173303, 3149.1397950810588)","(0.0, 3177.8456854573474, 24552.74089563739)","(18.0, 2175.8409831180725, 8091.479151574713)"
183298.07108324338,4832930.238571752,20691.3808111479,"(0.0, 915.3783718511199, 3151.8967308102237)","(0.0, 3191.312696684493, 24664.09180258139)","(12.916666666666668, 2070.3457554095958, 11459.31620121815)"
183298.07108324338,4832930.238571752,61584.82110660255,"(0.0, 916.5941072709445, 3156.207055466635)","(0.0, 3252.52318484644, 24838.987648418122)","(8.416666666666666, 1939.2845150915382, 15426.483442360544)"
183298.07108324338,4832930.238571752,183298.07108324338,"(0.0, 917.8660895047885, 3163.2125511934237)","(0.0, 3314.0495866580677, 25125.381374490207)","(4.166666666666666, 1878.4953502832238, 20533.842018098178)"
183298.07108324338,4832930.238571752,545559.4781168514,"(0.0, 921.4756521815991, 3174.903429454227)","(0.0, 3440.4139376854455, 25609.23948001682)","(2.25, 1942.5835559677935, 27518.957061214925)"
183298.07108324338,4832930.238571752,1623776.739188721,"(0.0, 931.9948612517549, 3194.0970099952992)","(0.0, 3608.789327739154, 26420.00568084511)","(0.6666666666666667, 2503.0846452340065, 37331.40219358192)"
183298.07108324338,4832930.238571752,4832930.238571752,"(0.0, 946.217518196901, 3224.675811313999)","(0.0, 3871.248866339488, 27755.29768480191)","(0.08333333333333334, 3659.596358313076, 51533.1529683858)"
183298.07108324338,4832930.238571752,14384498.882876629,"(0.0, 966.1618957751916, 3271.3243948243007)","(0.0, 4377.965292514329, 29901.55082424691)","(0.0, 5747.031949910212, 72767.1577314704)"
183298.07108324338,4832930.238571752,42813323.98719387,"(0.0, 999.5167404070414, 3338.5150162587265)","(0.0, 5158.662987079739, 33246.24988286007)","(0.0, 9072.946681004367, 105454.52559199654)"
183298.07108324338,4832930.238571752,127427498.57031322,"(0.0, 1042.346765407802, 3428.887863363445)","(0.0, 6318.344066309245, 38282.55340036894)","(0.0, 14611.91473431509, 156832.50267326934)"
183298.07108324338,4832930.238571752,379269019.0732238,"(0.0, 1089.0818895144866, 3541.8659958946805)","(0.0, 8145.3617175772415, 45622.81771620201)","(0.0, 24115.309722543225, 238559.1105534347)"
183298.07108324338,4832930.238571752,1128837891.6846883,"(0.0, 1147.781850145539, 3673.409459330852)","(0.0, 10640.269147858737, 56048.41453771202)","(0.0, 39207.60789051305, 369359.07262316433)"
183298.07108324338,4832930.238571752,3359818286.2837744,"(0.0, 1210.6799943855835, 3816.9077486441556)","(0.0, 14133.629378923677, 70618.20567599355)","(0.0, 63646.12480739057, 579518.3235998665)"
183298.07108324338,4832930.238571752,10000000000.0,"(0.0, 1262.659973506345, 3964.468633873025)","(0.0, 18699.431378949295, 90857.8470845317)","(0.0, 101857.11631507281, 918545.6278194961)"
183298.07108324338,14384498.882876629,10.0,"(0.0, 987.834251525234, 3337.467825295018)","(0.0, 4735.388122783929, 35065.775435878175)","(48.41666666666667, 2442.3187383337117, 2488.502579863804)"
183298.07108324338,14384498.882876629,29.76351441631318,"(0.0, 987.8310766825529, 3337.4708230425413)","(0.0, 4735.343842542424, 35065.91828655478)","(47.0, 2440.8295443769434, 2537.004139803522)"
183298.07108324338,14384498.882876629,88.58667904100822,"(0.0, 987.8217438003608, 3337.47958862548)","(0.0, 4735.21382910269, 35066.335524219525)","(44.083333333333336, 2439.709830383483, 2675.9142243218635)"
183298.07108324338,14384498.882876629,263.6650898730358,"(0.0, 987.794970519426, 3337.5056089311074)","(0.0, 4736.483781983963, 35067.574589439806)","(38.75, 2431.2845518388954, 3049.8827454788507)"
183298.07108324338,14384498.882876629,784.7599703514607,"(0.0, 987.7235012037102, 3337.581995165293)","(0.0, 4738.212934243503, 35071.21218676546)","(31.083333333333336, 2404.33703069108, 3946.9241307036937)"
183298.07108324338,14384498.882876629,2335.7214690901214,"(0.0, 987.7720243774588, 3337.800443681029)","(0.0, 4733.704464713244, 35081.616199643264)","(23.25, 2351.7862648779483, 5788.787515368037)"
183298.07108324338,14384498.882876629,6951.927961775606,"(0.0, 988.4573823443525, 3338.382605363274)","(0.0, 4739.19557925614, 35109.35237036098)","(16.583333333333332, 2269.253472205649, 9023.435086868038)"
183298.07108324338,14384498.882876629,20691.3808111479,"(0.0, 989.1497291214503, 3339.704305915945)","(0.0, 4755.806076892059, 35172.38360262162)","(11.083333333333334, 2167.039091922995, 13810.631670270723)"
183298.07108324338,14384498.882876629,61584.82110660255,"(0.0, 991.2328667395986, 3342.058276718424)","(0.0, 4792.101308461514, 35284.922517728424)","(5.0, 2089.4941328937193, 19693.707165548934)"
183298.07108324338,14384498.882876629,183298.07108324338,"(0.0, 992.4261055953868, 3345.707271779259)","(0.0, 4832.0523454382055, 35460.298212766706)","(3.4166666666666665, 1987.0930537318409, 26483.91200630414)"
183298.07108324338,14384498.882876629,545559.4781168514,"(0.0, 995.7271818808183, 3351.6557840091837)","(0.0, 4910.832257519563, 35748.70532258756)","(1.8333333333333333, 2012.959110308869, 35138.108528571975)"
183298.07108324338,14384498.882876629,1623776.739188721,"(0.0, 999.9832243738741, 3361.6648502682706)","(0.0, 5030.259929916712, 36240.89579619042)","(0.6666666666666667, 2469.7265509201443, 46848.34354610981)"
183298.07108324338,14384498.882876629,4832930.238571752,"(0.0, 1008.6526978611828, 3378.3115976905015)","(0.0, 5275.873844542466, 37078.95519273391)","(0.08333333333333334, 3553.713003658711, 63063.04097739443)"
183298.07108324338,14384498.882876629,14384498.882876629,"(0.0, 1024.6688362552231, 3405.3424023804814)","(0.0, 5619.741725329164, 38493.02958204561)","(0.0, 5464.238668212427, 86133.52711879721)"
183298.07108324338,14384498.882876629,42813323.98719387,"(0.0, 1045.491528162006, 3447.6366897092535)","(0.0, 6189.391085384798, 40844.118162498125)","(0.0, 8658.456021137146, 120070.25112416025)"
183298.07108324338,14384498.882876629,127427498.57031322,"(0.0, 1073.8921413193993, 3510.3560766198148)","(0.0, 7138.617548529883, 44666.62863639656)","(0.0, 14041.61369376416, 171740.41230030844)"
183298.07108324338,14384498.882876629,379269019.0732238,"(0.0, 1112.3324026176313, 3597.0165491831335)","(0.0, 8712.061456776546, 50694.87641447094)","(0.0, 22968.211063594958, 252694.7523404999)"
183298.07108324338,14384498.882876629,1128837891.6846883,"(0.0, 1159.0966995564108, 3707.2321205407943)","(0.0, 11084.473798876068, 59871.02288422364)","(0.0, 38294.02801548061, 381895.490305235)"
183298.07108324338,14384498.882876629,3359818286.2837744,"(0.0, 1216.851601595682, 3835.849871369471)","(0.0, 14318.343297154195, 73380.6980334128)","(0.0, 62639.33350090384, 590055.22677795)"
183298.07108324338,14384498.882876629,10000000000.0,"(0.0, 1261.2947619309466, 3974.26542877919)","(0.0, 18878.56922664812, 92800.48021450387)","(0.0, 100738.63385615754, 927068.1361921022)"
183298.07108324338,42813323.98719387,10.0,"(0.0, 1092.1643687737078, 3563.293341873073)","(0.0, 7245.463396019693, 51306.54984662762)","(45.5, 2441.6882598715774, 2597.082934297586)"
183298.07108324338,42813323.98719387,29.76351441631318,"(0.0, 1092.1646294614325, 3563.2941545881013)","(0.0, 7245.4155200522455, 51306.60137708845)","(44.583333333333336, 2441.2056378712787, 2644.4518945402933)"
183298.07108324338,42813323.98719387,88.58667904100822,"(0.0, 1092.1654052201964, 3563.296561869746)","(0.0, 7245.273215630466, 51306.75401281513)","(42.083333333333336, 2439.772944271369, 2780.426187905273)"
183298.07108324338,42813323.98719387,263.6650898730358,"(0.0, 1092.1677129157533, 3563.3036382010187)","(0.0, 7244.851354847699, 51307.20489183182)","(37.5, 2437.5085901559696, 3149.4317813293064)"
183298.07108324338,42813323.98719387,784.7599703514607,"(0.0, 1092.1745705080543, 3563.324681695938)","(0.0, 7243.610504558905, 51308.53702833259)","(30.25, 2430.3972282741715, 4048.4718291267445)"
183298.07108324338,42813323.98719387,2335.7214690901214,"(0.0, 1092.1948849243975, 3563.3862866451204)","(0.0, 7240.043179228007, 51312.45296582539)","(22.75, 2401.4740536769777, 5949.816141100398)"
183298.07108324338,42813323.98719387,6951.927961775606,"(0.0, 1092.2545100315547, 3563.5624606913734)","(0.0, 7227.693903169575, 51323.61659460696)","(16.0, 2343.215175306861, 9473.445338995276)"
183298.07108324338,42813323.98719387,20691.3808111479,"(0.0, 1092.4249140363704, 3564.0309137211107)","(0.0, 7223.41659341794, 51353.3388403173)","(9.75, 2265.3789164609225, 15312.11022633425)"
183298.07108324338,42813323.98719387,61584.82110660255,"(0.0, 1092.8777561260217, 3565.0894672051136)","(0.0, 7258.069130450818, 51420.5763107603)","(4.166666666666666, 2183.8275050270727, 23722.06000100299)"
183298.07108324338,42813323.98719387,183298.07108324338,"(0.0, 1095.1343681175297, 3566.9632771644856)","(0.0, 7269.3576960426035, 51539.9105314787)","(2.666666666666667, 2111.6069118449104, 33902.77193322098)"
183298.07108324338,42813323.98719387,545559.4781168514,"(0.0, 1096.025822624908, 3569.8611874382214)","(0.0, 7367.761244507996, 51725.43492662086)","(1.8333333333333333, 2129.3600647898047, 45548.14746987344)"
183298.07108324338,42813323.98719387,1623776.739188721,"(0.0, 1097.1005045041331, 3574.598282325217)","(0.0, 7432.930084311697, 52031.328618040556)","(0.6666666666666667, 2454.886734425576, 60303.18504266421)"
183298.07108324338,42813323.98719387,4832930.238571752,"(0.0, 1097.57690875459, 3582.612174231668)","(0.0, 7589.486120287221, 52556.146102865656)","(0.08333333333333334, 3323.27787231594, 80120.53215023376)"
183298.07108324338,42813323.98719387,14384498.882876629,"(0.0, 1106.7247876132274, 3596.0576326343157)","(0.0, 7831.701520635077, 53457.653547702794)","(0.0, 5096.438373874647, 107265.54382271186)"
183298.07108324338,42813323.98719387,42813323.98719387,"(0.0, 1118.1625310744205, 3618.189799259736)","(0.0, 8289.806435010312, 55000.47790771401)","(0.0, 8035.511459110014, 145341.8571679807)"
183298.07108324338,42813323.98719387,127427498.57031322,"(0.0, 1133.5037712176577, 3653.5132537435657)","(0.0, 8948.426742278378, 57621.919210383385)","(0.0, 12961.43698705993, 200469.8116379857)"
183298.07108324338,42813323.98719387,379269019.0732238,"(0.0, 1155.919647981978, 3707.2682042252045)","(0.0, 10122.797521763143, 62017.045324454986)","(0.0, 21230.222829377082, 283264.8535785427)"
183298.07108324338,42813323.98719387,1128837891.6846883,"(0.0, 1190.277577797106, 3783.681399295255)","(0.0, 12023.737367224141, 69222.42214724304)","(0.0, 35790.63089820204, 412031.45315495145)"
183298.07108324338,42813323.98719387,3359818286.2837744,"(0.0, 1233.478526369716, 3883.1875917380403)","(0.0, 14973.102268888804, 80664.40671958453)","(0.0, 59860.93692666183, 617582.4672572399)"
183298.07108324338,42813323.98719387,10000000000.0,"(0.0, 1272.8341256000986, 4000.556075921766)","(0.0, 19338.482173800447, 98198.81414405552)","(0.0, 97178.74128484042, 950632.4755960489)"
183298.07108324338,127427498.57031322,10.0,"(0.0, 1177.7912264181143, 3808.0187911057246)","(0.0, 10912.36964332793, 76497.62950571225)","(42.66666666666667, 2427.2703768461006, 2705.86798886384)"
183298.07108324338,127427498.57031322,29.76351441631318,"(0.0, 1177.7911183260571, 3808.0189930115525)","(0.0, 10912.36826693689, 76497.64889512386)","(42.0, 2427.1161905088884, 2751.5700996736705)"
183298.07108324338,127427498.57031322,88.58667904100822,"(0.0, 1177.790796664137, 3808.019592386113)","(0.0, 10912.364171888908, 76497.70645442275)","(40.0, 2426.6575328789704, 2883.538276126557)"
183298.07108324338,127427498.57031322,263.6650898730358,"(0.0, 1177.7898397992744, 3808.0213723212028)","(0.0, 10912.35199753042, 76497.87738629838)","(36.083333333333336, 2425.2946630511765, 3243.6870904451234)"
183298.07108324338,127427498.57031322,784.7599703514607,"(0.0, 1177.786996386093, 3808.0266393862184)","(0.0, 10912.315885534841, 76498.38446215872)","(29.583333333333332, 2421.7403426643546, 4131.33854155378)"
183298.07108324338,127427498.57031322,2335.7214690901214,"(0.0, 1177.7785736952933, 3808.042227595121)","(0.0, 10912.708614645275, 76499.88022431574)","(22.416666666666664, 2411.3954324058877, 6039.54291810799)"
183298.07108324338,127427498.57031322,6951.927961775606,"(0.0, 1177.7538609156745, 3808.0880060290638)","(0.0, 10915.139254104817, 76504.27682150374)","(15.5, 2390.4962255355476, 9666.20111905117)"
183298.07108324338,127427498.57031322,20691.3808111479,"(0.0, 1177.6834207249515, 3808.2187484222577)","(0.0, 10921.945583428009, 76516.83544520734)","(9.166666666666666, 2334.3751379401097, 16006.258445460218)"
183298.07108324338,127427498.57031322,61584.82110660255,"(0.0, 1177.9955220433794, 3808.5652756937097)","(0.0, 10927.026457284952, 76550.20319998957)","(3.4166666666666665, 2259.188799206939, 26251.254067975504)"
183298.07108324338,127427498.57031322,183298.07108324338,"(0.0, 1178.545244074037, 3809.347565980474)","(0.0, 10933.436204122321, 76625.39991579129)","(2.666666666666667, 2194.3579155552343, 40849.94872066276)"
183298.07108324338,127427498.57031322,545559.4781168514,"(0.0, 1179.2156278331304, 3810.7293247883586)","(0.0, 10952.805919966333, 76758.67639635365)","(1.8333333333333333, 2167.588473276317, 58414.15736684097)"
183298.07108324338,127427498.57031322,1623776.739188721,"(0.0, 1180.078214171789, 3812.865707124824)","(0.0, 11006.928636624016, 76965.74046639894)","(0.6666666666666667, 2424.1511531518095, 78420.28938945892)"
183298.07108324338,127427498.57031322,4832930.238571752,"(0.0, 1181.554667401281, 3816.3651748389475)","(0.0, 11117.015636136228, 77307.61906105667)","(0.08333333333333334, 3132.2871034357813, 103676.39890640136)"
183298.07108324338,127427498.57031322,14384498.882876629,"(0.0, 1185.3610215745866, 3822.306656574538)","(0.0, 11314.981133413206, 77895.69596653062)","(0.0, 4578.227824064966, 137423.31988159526)"
183298.07108324338,127427498.57031322,42813323.98719387,"(0.0, 1190.9364107402012, 3832.334495596439)","(0.0, 11592.820146314927, 78910.34374617916)","(0.0, 7294.8763035212, 183287.16873364925)"
183298.07108324338,127427498.57031322,127427498.57031322,"(0.0, 1201.0378055671874, 3849.000828683712)","(0.0, 12101.478057218732, 80659.93164786886)","(0.0, 11594.025441620863, 246911.59734677192)"
183298.07108324338,127427498.57031322,379269019.0732238,"(0.0, 1214.5518640051916, 3876.000681247304)","(0.0, 13026.643076122607, 83670.34726021579)","(0.0, 19206.332544876008, 337770.0558375462)"
183298.07108324338,127427498.57031322,1128837891.6846883,"(0.0, 1233.71992601016, 3917.976294971135)","(0.0, 14398.153566726894, 88820.08026869128)","(0.0, 32353.79265961049, 472337.75242037745)"
183298.07108324338,127427498.57031322,3359818286.2837744,"(0.0, 1257.6947652795202, 3979.265407231356)","(0.0, 16798.365100117455, 97515.18922556724)","(0.0, 54972.8867083719, 679534.211890401)"
183298.07108324338,127427498.57031322,10000000000.0,"(0.0, 1294.8392551184188, 4061.256464854956)","(0.0, 20386.304274030794, 111859.06323272464)","(0.0, 91540.5617604987, 1009328.6597554904)"
183298.07108324338,379269019.0732238,10.0,"(0.0, 1277.3408864529104, 4049.395196514781)","(0.0, 16061.439041558835, 116278.26905580479)","(40.33333333333333, 2400.9322857226116, 2814.932236442584)"
183298.07108324338,379269019.0732238,29.76351441631318,"(0.0, 1277.340906047361, 4049.395241938091)","(0.0, 16061.443149849656, 116278.27674341801)","(39.666666666666664, 2400.8796094003073, 2859.022493837004)"
183298.07108324338,379269019.0732238,88.58667904100822,"(0.0, 1277.3409643655039, 4049.3953771253873)","(0.0, 16061.455374834695, 116278.2995664527)","(38.166666666666664, 2400.7228727520296, 2986.5842815142005)"
183298.07108324338,379269019.0732238,263.6650898730358,"(0.0, 1277.3411379245601, 4049.3957784118043)","(0.0, 16061.491736503198, 116278.36753867399)","(34.91666666666667, 2400.2567818726648, 3336.636842209714)"
183298.07108324338,379269019.0732238,784.7599703514607,"(0.0, 1277.3416543535614, 4049.3969701293745)","(0.0, 16061.599747909175, 116278.56923156364)","(28.833333333333332, 2398.920351071495, 4207.922849230807)"
183298.07108324338,379269019.0732238,2335.7214690901214,"(0.0, 1277.3431901558406, 4049.4004965432878)","(0.0, 16061.919348695767, 116279.1675665148)","(21.833333333333332, 2394.895709987243, 6103.806053169932)"
183298.07108324338,379269019.0732238,6951.927961775606,"(0.0, 1277.347750013146, 4049.4109597002002)","(0.0, 16062.85430656006, 116280.93692832156)","(15.333333333333332, 2389.3690514014274, 9755.290976358094)"
183298.07108324338,379269019.0732238,20691.3808111479,"(0.0, 1277.3612232489404, 4049.441662644471)","(0.0, 16065.501686410898, 116286.13336505588)","(8.75, 2365.5780053628578, 16282.110959278078)"
183298.07108324338,379269019.0732238,61584.82110660255,"(0.0, 1277.4004768246941, 4049.52936020128)","(0.0, 16072.377119629116, 116300.97652229297)","(3.4166666666666665, 2316.57793435104, 27397.591696966745)"
183298.07108324338,379269019.0732238,183298.07108324338,"(0.0, 1277.5104073344983, 4049.762335851049)","(0.0, 16073.921618673576, 116340.41291673982)","(2.666666666666667, 2244.2128532246966, 45181.246836585655)"
183298.07108324338,379269019.0732238,545559.4781168514,"(0.0, 1277.687412118591, 4050.287788037568)","(0.0, 16085.451224086548, 116429.39720131447)","(1.8333333333333333, 2214.751515775173, 70415.4401685406)"
183298.07108324338,379269019.0732238,1623776.739188721,"(0.0, 1278.0603227428533, 4051.2158589772444)","(0.0, 16103.181141784095, 116586.82694754441)","(0.6666666666666667, 2335.0684923410217, 100695.12403548411)"
183298.07108324338,379269019.0732238,4832930.238571752,"(0.0, 1278.7200603307115, 4052.651283090514)","(0.0, 16168.134545537156, 116831.37507872356)","(0.08333333333333334, 2886.7357543408193, 135108.91376170446)"
